stco_code,rd_total,rd_total_biz
01125,263624.99,10593.85
06053,26539.95,100.66
06059,1666986.91,96491.35
06085,11422.98,657.1800000000001
08031,1947781.49,172011.78
09001,36358.34,195.21
10001,81204.6,746.59
10003,811663.34,27323.88
01015,5860.04,100.66
01073,2195530.85,155157.28
01081,657226.48,27041.91
01087,91853.29,845.13
01089,568105.44,8202.99
01097,196633.21000000002,6844.62
11001,2480224.9,53093.06
01101,21082.72,0
01123,657226.48,27041.91
12001,3355552.46,152377.11000000002
12009,71905.61,8526.15
12011,67937.54,7065.16
12031,22282.96,1667.1
12033,116827.65,4957.8
12057,2207213.38,113798.86
12069,936.93,0
12071,50718.65,10229.48
12073,1381892.85,12550.11
12081,5770.17,679.4
12086,2278278.86,130381.95
12095,815682.87,39139.78
12099,149445.43,4007.82
12103,31124.350000000002,572.25
12105,193.06,0
12115,5770.17,679.4
12127,75032.06,5159.91
13021,143342.65,33206.75
13031,72337.79,31506.53
13045,7516.01,2137.75
13051,16018.9,129.26999999999998
13059,1701513.65,51590.26
13067,22295.53,544.21
13079,19704.63,0
13089,2681113.47,145384.23
13095,7686.94,584.25
13121,4268694.78,206660.49
13153,19704.63,0
13193,19704.63,0
13205,7686.94,584.25
13215,1366.28,13.36
13225,19704.63,0
13245,312332.43,13218.67
13321,7686.94,584.25
15001,67961.68,191.32
15003,1472607.32,38365.51
16001,132637.82,1447.45
16005,94647.63,4932.3
16057,451803.9,10145.63
17019,2972692.51,189865.13999999998
17029,758.12,45.97
17031,7385249.22,307558.24
17035,758.12,45.97
17037,92802.53,3671.6899999999996
17043,35071.88,767.28
17077,294663.31,33520.520000000004
17097,77797.29000000001,6198.07
17109,8193.55,247.67
17113,87706.2,494.9
17119,101645.08,11997.6
17143,9635.4,4026.52
17167,9561.779999999999,0
17197,885.41,0
17199,294663.31,33520.520000000004
18011,3726.45,0
18019,530.12,0
18021,1633.75,120.75999999999999
18035,49595.54,1393.52
18043,530.12,0
18045,3726.45,0
18089,53925.6,3003.36
18091,14798.21,48.410000000000004
18097,1016397.75,51936.020000000004
18105,1451137.92,48426.11
18107,3726.45,0
18127,14798.21,48.410000000000004
18141,845365.75,26899.71
18157,2984580.34,188008.75
18167,8880.14,1480.6699999999998
18177,498.56,3.6
19013,17259.7,452.87
19099,17200.57,14.95
19103,2077899.35,83067.35
19153,4380.19,194.85
19157,17200.57,14.95
19163,13267.32,0
19169,1362095.95,88061.22
20021,9090.98,3311.4
20037,9090.98,3311.4
20045,1385377.1,52999.990000000005
20087,1382712.33,52999.990000000005
20103,1382712.33,52999.990000000005
20161,856034.71,22848.88
20173,284215.17,138177.71
02020,90202.23,3257.3
02090,709000.29,24147.22
21005,28988.8,166.77
21011,10118.83,0
21031,41711.57,566.93
21035,11235.31,796.53
21037,9195.24,73.25
21043,10118.83,0
21061,41711.57,566.93
21063,10118.83,0
21067,1582189.12,59909.06
21069,10118.83,0
21073,28988.8,166.77
21083,11235.31,796.53
02110,7247.6900000000005,129.55
21103,28988.8,166.77
21111,859671.68,34412.56
21151,10831.7,119.17
21205,10118.83,0
21211,28988.8,166.77
21227,41711.57,566.93
21239,28988.8,166.77
22015,122505.41,8926.41
22017,122505.41,8926.41
22019,6826.05,26.240000000000002
22033,1374682.96,63295.5
22055,325091.75,58116.83
22057,7974.15,485.22999999999996
22061,120497.99,2950.67
22069,4205.16,0
22071,1146765.61,38601.46
22073,10773.17,163.49
22081,1993.5500000000002,373.26
22105,9694.44,71.57
23001,9937.72,56
23005,60728.32,450.56
23009,3062.17,0
23011,8459.82,0
23019,397681.19,14309.36
23023,17029.34,14.02
23031,31897.27,1351.3700000000001
24003,48310.94,41.74
24005,412403.93,9939.2
24019,275912.74,3565.4
24031,1092098.51,0
24033,2341546.12,32291.53
24039,39788.57,4.55
24045,35278.38,273.25
24510,12735820.64,341017.26
25001,972054.87,28537.29
25003,22364.12,0
25005,121852.45,2140.02
25011,23390.26,0
25013,1622.6399999999999,320.62
25015,998082.0700000001,33668.03
25017,10289168.88,927066.57
25021,1767905.81,37584.47
25025,2587945.08,71554.3
25027,1321881.42,51175.46
26005,14539.08,0
26017,4106.74,73.78
26033,2000.51,339.11
26049,16810.69,3678.18
26061,326815.98,26763.24
26065,2513516.77,37161.55
26073,60802.94,1170.6100000000001
26077,90320.32,6372.47
26081,85923.69,5093.84
26103,1006.12,8.1
26125,86130.9,6711.26
26139,51056.33,97.64
26161,6356250.17,248947.75
26163,1072652.4,33773.74
27013,13232.68,0
27037,33848.68,8.57
27049,33848.68,8.57
27053,4029335.8,134460.01
27103,13232.68,0
27123,11228.65,268.47
27131,33848.68,8.57
27137,110649.24,2318.79
27145,25870.15,2151.99
27149,4711.9,299.95
28021,46811.93,859.78
28035,254562.95,24907.52
28049,158299.55,0
28063,46811.93,859.78
28071,514045.57,29699.170000000002
28105,1031041.1599999999,55068.13
29001,19561.95,0
29019,1117347.52,29410.17
29051,30903.579999999998,0
29065,175532.58000000002,20921.93
29077,17253.54,1522.24
29095,130095.28,3008.4700000000003
29125,175532.58000000002,20921.93
29161,175532.58000000002,20921.93
29189,3307207.7600000002,253570.84
29510,3439875.19,276013.7
30023,53281.61,3202.93
30031,528703.78,3846.13
30043,53281.61,3202.93
30047,6259.35,0
30063,281900.32,3580.67
30093,53281.61,3202.93
31019,7714.18,21.57
31055,828706.91,49753.6
31109,1274581.72,78192.93
31151,2030.34,0
32003,206673.96,3020.09
32031,540551.09,9112.6
33005,7746.6,0
33009,984510.0499999999,28186.2
33015,694175.26,36542.5
33017,694175.26,36542.5
34001,4198.99,60.980000000000004
34007,22026.3,181.28
34013,1106892.53,45231.48
34015,30878.85,3027.2599999999998
34017,149213.38,5079.25
34021,1323972.51,45448.61
34023,2610897.64,95574.89
34025,2469.46,220.92000000000002
34027,1523.71,50.57
34031,24411.26,1049.47
34039,4435.9800000000005,107.16
35001,1061853.25,18025.05
35009,440.96,0
35013,615658.31,17139.66
35041,440.96,0
35047,4530.36,0
35053,152723.63,9411.35
36001,1296264.73,286001.87
36003,24111.71,4035.63
36005,381808.93,4000.0499999999997
36007,363791.17,16033.98
36009,1598.6,29.29
36011,1448.68,1.88
36019,3751.41,0
